类型,级别,级别代码,资产,检查项,规则 ID,指标,实测,期望,Profile 指针,说明,原始说明,证据 ID
规则问题,错误,error,/Game/UABADemo/02_Medium/SM_UABA_16_S_EV_FogVolume_Sphere_01.SM_UABA_16_S_EV_FogVolume_Sphere_01,三角形预算,static_mesh.triangle_budget.lod0,lod0.triangles,3968,2000,/rules/triangle_budget/max_lod0,LOD0 三角形为 3968，超过 Profile 上限 2000。,LOD0 triangles 3968 exceed profile limit 2000.,ev-9939be06c6233e9d
规则问题,错误,error,/Game/UABADemo/02_Medium/SM_UABA_16_S_EV_FogVolume_Sphere_01.SM_UABA_16_S_EV_FogVolume_Sphere_01,顶点预算,static_mesh.vertex_budget.lod0,lod0.vertices,2143,1500,/rules/vertex_budget/max_lod0,LOD0 顶点为 2143，超过 Profile 上限 1500。,LOD0 vertices 2143 exceed profile limit 1500.,ev-33c1fd4ce0869c92
规则问题,警告,warning,/Game/UABADemo/02_Medium/SM_UABA_16_S_EV_FogVolume_Sphere_01.SM_UABA_16_S_EV_FogVolume_Sphere_01,简单碰撞,static_mesh.simple_collision,simple_collision,0; project_default,>=1 simple primitives or complex-as-simple,/rules/simple_collision,碰撞实测为 0; project_default；Profile 要求 >=1 simple primitives or complex-as-simple。,Simple collision primitives are 0; collision complexity is project_default; profile expects >=1 simple primitives or complex-as-simple.,ev-dd03d9dcecc4e8e8
规则问题,警告,warning,/Game/UABADemo/02_Medium/SM_UABA_16_S_EV_FogVolume_Sphere_01.SM_UABA_16_S_EV_FogVolume_Sphere_01,Lightmap UV,static_mesh.lightmap_uv,lightmap_uv,index=0; uv_channels=1,valid Lightmap index and >=2 UV channels,/rules/lightmap_uv,Lightmap UV 实测为 index=0; uv_channels=1；Profile 要求 valid Lightmap index and >=2 UV channels。,Lightmap coordinate index is 0 with 1 UV channels; profile requires a valid index and at least 2 channels.,ev-f81eca55caf61af3
规则问题,提示,info,/Game/UABADemo/02_Medium/SM_UABA_16_S_EV_FogVolume_Sphere_01.SM_UABA_16_S_EV_FogVolume_Sphere_01,Lightmap 分辨率,static_mesh.lightmap_resolution,lightmap_resolution,4,32,/rules/lightmap_resolution/min_resolution,Lightmap 分辨率为 4，低于 Profile 下限 32。,Lightmap resolution 4 is below profile minimum 32.,ev-ac13d9a79a3ab2a2
规则问题,错误,error,/Game/UABADemo/03_Heavy/BAD_UABA_22_EditorShaderBall.BAD_UABA_22_EditorShaderBall,三角形预算,static_mesh.triangle_budget.lod0,lod0.triangles,58540,2000,/rules/triangle_budget/max_lod0,LOD0 三角形为 58540，超过 Profile 上限 2000。,LOD0 triangles 58540 exceed profile limit 2000.,ev-58105c34e4b71161
规则问题,错误,error,/Game/UABADemo/03_Heavy/BAD_UABA_22_EditorShaderBall.BAD_UABA_22_EditorShaderBall,顶点预算,static_mesh.vertex_budget.lod0,lod0.vertices,32470,1500,/rules/vertex_budget/max_lod0,LOD0 顶点为 32470，超过 Profile 上限 1500。,LOD0 vertices 32470 exceed profile limit 1500.,ev-1dbd8264840b1d8f
规则问题,警告,warning,/Game/UABADemo/03_Heavy/BAD_UABA_22_EditorShaderBall.BAD_UABA_22_EditorShaderBall,材质槽,static_mesh.material_slots,material_slot_count,3,2,/rules/material_slots/max_count,材质槽为 3，超过 Profile 上限 2。,Material slots 3 exceed profile limit 2.,ev-18e459e6f1123398
规则问题,警告,warning,/Game/UABADemo/03_Heavy/BAD_UABA_22_EditorShaderBall.BAD_UABA_22_EditorShaderBall,资产命名,static_mesh.object_name,asset_name,BAD_UABA_22_EditorShaderBall,prefix in ['SM_UABA_'] and full-match /^SM_UABA_[0-9]{2}_[A-Za-z0-9_]+$/,/rules/object_name,资产名 BAD_UABA_22_EditorShaderBall 不符合 Profile 命名规则：prefix in ['SM_UABA_'] and full-match /^SM_UABA_[0-9]{2}_[A-Za-z0-9_]+$/。,Asset name 'BAD_UABA_22_EditorShaderBall' does not satisfy prefix in ['SM_UABA_'] and full-match /^SM_UABA_[0-9]{2}_[A-Za-z0-9_]+$/.,ev-5258abf93176843e
规则问题,错误,error,/Game/UABADemo/03_Heavy/SM_UABA_17_SimplePivotPainterExample.SM_UABA_17_SimplePivotPainterExample,三角形预算,static_mesh.triangle_budget.lod0,lod0.triangles,4080,2000,/rules/triangle_budget/max_lod0,LOD0 三角形为 4080，超过 Profile 上限 2000。,LOD0 triangles 4080 exceed profile limit 2000.,ev-aa05f7d91ce01a9d
规则问题,错误,error,/Game/UABADemo/03_Heavy/SM_UABA_17_SimplePivotPainterExample.SM_UABA_17_SimplePivotPainterExample,顶点预算,static_mesh.vertex_budget.lod0,lod0.vertices,4590,1500,/rules/vertex_budget/max_lod0,LOD0 顶点为 4590，超过 Profile 上限 1500。,LOD0 vertices 4590 exceed profile limit 1500.,ev-a0bfe3764cb5f0e9
规则问题,警告,warning,/Game/UABADemo/03_Heavy/SM_UABA_17_SimplePivotPainterExample.SM_UABA_17_SimplePivotPainterExample,简单碰撞,static_mesh.simple_collision,simple_collision,0; project_default,>=1 simple primitives or complex-as-simple,/rules/simple_collision,碰撞实测为 0; project_default；Profile 要求 >=1 simple primitives or complex-as-simple。,Simple collision primitives are 0; collision complexity is project_default; profile expects >=1 simple primitives or complex-as-simple.,ev-9387545e17c432e2
规则问题,错误,error,/Game/UABADemo/03_Heavy/SM_UABA_18_SM_CineCam.SM_UABA_18_SM_CineCam,三角形预算,static_mesh.triangle_budget.lod0,lod0.triangles,6252,2000,/rules/triangle_budget/max_lod0,LOD0 三角形为 6252，超过 Profile 上限 2000。,LOD0 triangles 6252 exceed profile limit 2000.,ev-05549fb07b0af4f2
规则问题,错误,error,/Game/UABADemo/03_Heavy/SM_UABA_18_SM_CineCam.SM_UABA_18_SM_CineCam,顶点预算,static_mesh.vertex_budget.lod0,lod0.vertices,4174,1500,/rules/vertex_budget/max_lod0,LOD0 顶点为 4174，超过 Profile 上限 1500。,LOD0 vertices 4174 exceed profile limit 1500.,ev-a85d238083782885
规则问题,警告,warning,/Game/UABADemo/03_Heavy/SM_UABA_18_SM_CineCam.SM_UABA_18_SM_CineCam,简单碰撞,static_mesh.simple_collision,simple_collision,0; project_default,>=1 simple primitives or complex-as-simple,/rules/simple_collision,碰撞实测为 0; project_default；Profile 要求 >=1 simple primitives or complex-as-simple。,Simple collision primitives are 0; collision complexity is project_default; profile expects >=1 simple primitives or complex-as-simple.,ev-04fdd7ab2f2c2834
规则问题,错误,error,/Game/UABADemo/03_Heavy/SM_UABA_19_VivePreController_Trimlines.SM_UABA_19_VivePreController_Trimlines,三角形预算,static_mesh.triangle_budget.lod0,lod0.triangles,17912,2000,/rules/triangle_budget/max_lod0,LOD0 三角形为 17912，超过 Profile 上限 2000。,LOD0 triangles 17912 exceed profile limit 2000.,ev-dc9b389bcac6ce56
规则问题,错误,error,/Game/UABADemo/03_Heavy/SM_UABA_19_VivePreController_Trimlines.SM_UABA_19_VivePreController_Trimlines,顶点预算,static_mesh.vertex_budget.lod0,lod0.vertices,10587,1500,/rules/vertex_budget/max_lod0,LOD0 顶点为 10587，超过 Profile 上限 1500。,LOD0 vertices 10587 exceed profile limit 1500.,ev-d6eec5643e2801ef
规则问题,警告,warning,/Game/UABADemo/03_Heavy/SM_UABA_19_VivePreController_Trimlines.SM_UABA_19_VivePreController_Trimlines,简单碰撞,static_mesh.simple_collision,simple_collision,0; project_default,>=1 simple primitives or complex-as-simple,/rules/simple_collision,碰撞实测为 0; project_default；Profile 要求 >=1 simple primitives or complex-as-simple。,Simple collision primitives are 0; collision complexity is project_default; profile expects >=1 simple primitives or complex-as-simple.,ev-926b61e8cb439870
规则问题,错误,error,/Game/UABADemo/03_Heavy/SM_UABA_20_TransformGizmoFreeRotation.SM_UABA_20_TransformGizmoFreeRotation,三角形预算,static_mesh.triangle_budget.lod0,lod0.triangles,32256,2000,/rules/triangle_budget/max_lod0,LOD0 三角形为 32256，超过 Profile 上限 2000。,LOD0 triangles 32256 exceed profile limit 2000.,ev-ddda3bea49b8c01b
规则问题,错误,error,/Game/UABADemo/03_Heavy/SM_UABA_20_TransformGizmoFreeRotation.SM_UABA_20_TransformGizmoFreeRotation,顶点预算,static_mesh.vertex_budget.lod0,lod0.vertices,32512,1500,/rules/vertex_budget/max_lod0,LOD0 顶点为 32512，超过 Profile 上限 1500。,LOD0 vertices 32512 exceed profile limit 1500.,ev-180e43e2e7f68a4d
规则问题,错误,error,/Game/UABADemo/03_Heavy/SM_UABA_21_SM_ColorCalibrator.SM_UABA_21_SM_ColorCalibrator,三角形预算,static_mesh.triangle_budget.lod0,lod0.triangles,37472,2000,/rules/triangle_budget/max_lod0,LOD0 三角形为 37472，超过 Profile 上限 2000。,LOD0 triangles 37472 exceed profile limit 2000.,ev-463ef4b9c864bfd3
规则问题,错误,error,/Game/UABADemo/03_Heavy/SM_UABA_21_SM_ColorCalibrator.SM_UABA_21_SM_ColorCalibrator,顶点预算,static_mesh.vertex_budget.lod0,lod0.vertices,21422,1500,/rules/vertex_budget/max_lod0,LOD0 顶点为 21422，超过 Profile 上限 1500。,LOD0 vertices 21422 exceed profile limit 1500.,ev-822b3c6a22ceda8c
规则问题,警告,warning,/Game/UABADemo/03_Heavy/SM_UABA_21_SM_ColorCalibrator.SM_UABA_21_SM_ColorCalibrator,材质槽,static_mesh.material_slots,material_slot_count,5,2,/rules/material_slots/max_count,材质槽为 5，超过 Profile 上限 2。,Material slots 5 exceed profile limit 2.,ev-c70f0ae475c0ca44
规则问题,错误,error,/Game/UABADemo/03_Heavy/SM_UABA_24_SM_Room_01.SM_UABA_24_SM_Room_01,三角形预算,static_mesh.triangle_budget.lod0,lod0.triangles,63774,2000,/rules/triangle_budget/max_lod0,LOD0 三角形为 63774，超过 Profile 上限 2000。,LOD0 triangles 63774 exceed profile limit 2000.,ev-80e18dcf9510ca03
规则问题,错误,error,/Game/UABADemo/03_Heavy/SM_UABA_24_SM_Room_01.SM_UABA_24_SM_Room_01,顶点预算,static_mesh.vertex_budget.lod0,lod0.vertices,41436,1500,/rules/vertex_budget/max_lod0,LOD0 顶点为 41436，超过 Profile 上限 1500。,LOD0 vertices 41436 exceed profile limit 1500.,ev-5b72dc363ca683b9
规则问题,警告,warning,/Game/UABADemo/03_Heavy/SM_UABA_24_SM_Room_01.SM_UABA_24_SM_Room_01,简单碰撞,static_mesh.simple_collision,simple_collision,0; project_default,>=1 simple primitives or complex-as-simple,/rules/simple_collision,碰撞实测为 0; project_default；Profile 要求 >=1 simple primitives or complex-as-simple。,Simple collision primitives are 0; collision complexity is project_default; profile expects >=1 simple primitives or complex-as-simple.,ev-2e9af39e164137f9
规则问题,提示,info,/Game/UABADemo/03_Heavy/SM_UABA_24_SM_Room_01.SM_UABA_24_SM_Room_01,Lightmap 分辨率,static_mesh.lightmap_resolution,lightmap_resolution,8,32,/rules/lightmap_resolution/min_resolution,Lightmap 分辨率为 8，低于 Profile 下限 32。,Lightmap resolution 8 is below profile minimum 32.,ev-7b987aada931c035
规则问题,错误,error,/Game/UABADemo/Developers/SM_UABA_23_SM_MatPreviewMesh_01.SM_UABA_23_SM_MatPreviewMesh_01,三角形预算,static_mesh.triangle_budget.lod0,lod0.triangles,58540,2000,/rules/triangle_budget/max_lod0,LOD0 三角形为 58540，超过 Profile 上限 2000。,LOD0 triangles 58540 exceed profile limit 2000.,ev-12d5c9cfcb477b39
规则问题,错误,error,/Game/UABADemo/Developers/SM_UABA_23_SM_MatPreviewMesh_01.SM_UABA_23_SM_MatPreviewMesh_01,顶点预算,static_mesh.vertex_budget.lod0,lod0.vertices,32470,1500,/rules/vertex_budget/max_lod0,LOD0 顶点为 32470，超过 Profile 上限 1500。,LOD0 vertices 32470 exceed profile limit 1500.,ev-4cefc1e8e363eb17
规则问题,警告,warning,/Game/UABADemo/Developers/SM_UABA_23_SM_MatPreviewMesh_01.SM_UABA_23_SM_MatPreviewMesh_01,材质槽,static_mesh.material_slots,material_slot_count,3,2,/rules/material_slots/max_count,材质槽为 3，超过 Profile 上限 2。,Material slots 3 exceed profile limit 2.,ev-9e2ac1f3c37d463f
规则问题,警告,warning,/Game/UABADemo/Developers/SM_UABA_23_SM_MatPreviewMesh_01.SM_UABA_23_SM_MatPreviewMesh_01,目录规范,static_mesh.package_path,package_directory,/Game/UABADemo/Developers,"root in ['/Game/UABADemo']; forbidden segments absent ['Developers', 'Temp']",/rules/package_path,"资产目录 /Game/UABADemo/Developers 不符合 Profile 目录规则：root in ['/Game/UABADemo']; forbidden segments absent ['Developers', 'Temp']。",Package directory '/Game/UABADemo/Developers' is outside allowed roots or contains forbidden segments ['Developers'].,ev-eefaf226b45771bd
采集失败,错误,error,/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial,采集失败,collection.failure,unreal_editor,NOT_STATIC_MESH,可读取的 Static Mesh,—,资产无法作为 Static Mesh 读取；该对象未进入规则评估，其余批次结果不受影响。,Object could not be loaded as UStaticMesh.,—
采集失败,错误,error,/Game/UABADemo/Missing/SM_DoesNotExist.SM_DoesNotExist,采集失败,collection.failure,unreal_editor,NOT_STATIC_MESH,可读取的 Static Mesh,—,资产无法作为 Static Mesh 读取；该对象未进入规则评估，其余批次结果不受影响。,Object could not be loaded as UStaticMesh.,—
